Tweet,Compound_Score,Sentiments
make differ ua help daili ukrain aslund rudenko blender supportukrain eu standwithukrain ukrain nft art ipu russianwarcrim bucha nftcommun via,0.4019,Positif
make differ blender supportukrain eu standwithukrain ukrain nft art ipu russianwarcrim bucha nftcommun ukrainerussiawar kramatorsk iskand tochka u elon musk via,0.0,Netral
ipu welcom antoni pf lf mp germani speak first woman address ipu confer ipu deleg womenmp worldparliamentday brush histori,0.0,Netral
climatecrisi affect everi region world particular island nation ipu heard countri alreadi affect rise sea level chang weather pattern includ samuela penitala teo speaker tuvalu,0.0,Netral
nusa dua declar global call immedi inclus action address climatechang speak ipu maldiv mp reveal extent climat damag threaten island coastal infrastructur,-0.3818,Negatif
ipu mps spoke commit pursu polici action reduc emiss includ speaker tz tanzania confirm budget rapid transit system construct standard gaug railway,0.296,Positif
effort adapt climatechang slash emiss effect step fund technolog share polit commit partnership target equiti justic vulner learn mps address issu ipu,0.3182,Positif
ipu ipu member highlight progress climatechang measur take acceler decarbon word power testimoni countri alreadi great affect rise sea level read word,0.8519,Positif
hon scott simpson louisa wall mps took part th inter parliamentari union assembl last month nusa dua indonesia ipu newzealand member speak experi ipu via,0.0,Netral
get zero mps around world say watch parliamentarian ipu nusa dua explain impact climatechang countri parliamentari action take mitig effect climatecrisi,0.0,Netral
watch last month louisa wall took part th inter parliamentari union assembl nusa dua indonesia share experi ipu,0.296,Positif
int day multilater amp diplomaci peac ipu encourag parliament reflect resolut rethink refram approach peac process view foster last peac reveal ipu,0.0,Netral
peopl better histor memori mr u standwithukrian stoprussia stopputin ipu closetheskyoverukrain,0.4404,Positif
role youth crucial legislatur push issu affect young peopl especi develop nation member namibia children parliament rivaldo ipu last month nusa dua indonesia via,0.0,Netral
consolid report ipu committe humanright mps session ipu last month nusa dua includ case belarus ecuador egypt eswatini libya myanmar palestin israel uganda venezuela learn,0.0,Netral
way save tuvalu climatecrisi build countri speaker parliament samuelu penitala teo stark messag ipu risk countri climatechang threat real urgent watch,-0.128,Negatif
last month ipu nusa dua ipu committe humanright parliamentarian discuss case mps women across countri learn,0.0,Netral
thank sign support youngmp ipu support ipu campaign say yes young peopl parliament pledg support,0.9062,Positif
ipu assembl discuss rethink refram approach peac process view foster last peac resolut follow assembl publish,0.0,Netral
ipu assembl unanim adopt resolut leverag ict enabl educ sector includ time pandem recogn import equit access ict educ read onlin,0.1779,Positif
strong commit climatechang politic catch key speech ipu includ chairman myanmar h e mr aung kyi nyunt via,0.6705,Positif
get zero mobil parliament act climatechang main theme ipu outcom debat nusa dua declar draft recogn urgent need address climatecrisi,0.2023,Positif
make differ blender supportukrain eu standwithukrain ukrain nft art ipu russianwarcrim bucha nftcommun,0.0,Netral
way save tuvalu right fund build countri catch key speech ipu includ tuvalu mp speaker parliament mr samuelu penitala teo climatechang via,0.4939,Positif
public document ipu focus promot women children adolesc health last month nusa dua worldhealthday learn,0.0,Netral
theme worldhealthday planet health recal ipu nusa dua declar get zero mobil parliament act climatechang offer advic idea climateact mps,0.0,Netral
speech global assembl call world repres stand unit putin illeg uneth war ukrain ipu,-0.5994,Negatif
written report back ipu work secur strong resolut support ukrain,0.7184,Positif
key element success multi level govern well function cooper involv level govern catch key speech ipu includ belgium mp,0.7003,Positif
pakistan rank fifth vulner countri climatechang past year catch key speech ipu includ pakistan mp,0.0,Netral
make differ blender supportukrain eu standwithukrain ukrain nft art ipu russianwarcrim bucha nftcommun via,0.0,Netral
oversight mitig project budget alloc must effect implement parliament catch key speech ipu includ zimbabw mp speaker mr j f n mudena,0.0,Netral
carbon price drive innov technolog develop creat alway need chang incent catch key speech ipu includ sweden mp,0.0,Netral
evid putin mass atroc mount bodi pile street ukrain call world repres global assembl stand unit putin despic crime human must prosecut ipu,-0.5423,Negatif
make differ blender supportukrain eu standwithukrain ukrain nft art ipu nftcommun via,0.0,Netral
amp partnership bridg gap scienc amp polici import ever honor join ipu womenmp open panel alongsid women share evid support healthforal,0.8519,Positif
third year covid pandem countri still experienc signific disrupt essenti srh servic ipu assembl womenmp ask parliamentarian promot protect srhr,0.3818,Positif
mucha gracia ipu,0.0,Netral
next year determin world next centuri catch key speech ipu includ egypt mp presid board youngmp,0.0,Netral
make differ blender supportukrain eu ipu standwithukrain ukrain nft art via,0.0,Netral
scientist research document describ atlas human suffer damn indict fail climat leadership catch key speech ipu includ duart pacheco,-0.8658,Negatif
join intern commit agreement enough need translat commit within countri tangibl action catch key speech ipu includ indonesia speaker ri ri,0.8316,Positif
last week host panel discuss climat action margin ipu featur mps ri attend assembl bali read recap convers,0.0,Netral
deepli appreci minist communic amp informat hon meet engag product convers benefit mass communic look forward extend valuabl friendship forg ipu,0.765,Positif
proud moment parliamentari deleg pakistan attend th session inter parliamentari union assembl ipu bali indonesia,0.4767,Positif
time act last week ipu address climateemerg assembl highlight nation progress climatechang amp measur taken acceler decarbon click link read,0.6369,Positif
read anna mcmorrin mp warn parliament across world wrong side histori war ukrain call parliamentarian unit putin heinous crime ipu,-0.8979,Negatif
parliament russia terrorist state violat intern law remov russia ipu,-0.6908,Negatif
russia terrorist state violat intern law remov russia ipu,-0.6908,Negatif
women target queu bread dead bodi left street children see parent bleed realiti putin heinous crime ukrain speech global assembl parliamentarian support ukrain ipu,-0.7269,Negatif
strong speech last week ipu session want truth come poland unprovok unjustifi aggress russia ukrain,0.5574,Positif
deleg ipu met deputi speaker polish senat discuss refuge need poland ukrain border donat effort peopl liverpool across uk show intern solidar,0.0,Netral
parliamentari deleg pakistan attend th session inter parliamentari union assembl ipu bali indonesia,0.0,Netral
indonesia countri repres welcom particip trainer note increas interest take stronger action climat chang ri follow last week ipu focus climatechang netzero,0.6808,Positif
thank ri indonesia host ipu,0.3612,Positif
hon jacob mudenda speaker parliament zimbabw adress th assembl ipu held bali march chair indonesian hous speaker ri ri ipu inidiplomasi zimbabwean,0.0,Netral
must guarante human right everi man woman child move face realiti mass migrat reject anti migrant racist polici home speech global assembl parliamentarian ipu,-0.8402,Negatif
team vinnytsia coordin headquart help deliv babi food hygien product crisi center near children mother need help stoprussianagress ipu parliament pp,0.6597,Positif
recent conclud meet bali indonesia ipu conclud adopt nusa dua declar world mps recogn urgent need address climatecrisi,0.3612,Positif
peopl better histor memori mr courag u stoprussia stopputin standwithukrain closetheskyoverukrain ipu,0.4404,Positif
bgipu websit offlin due unexplain critic error amp investig outag straight report key outcom ipu unfortun see key outcom climatecrisi amp condemn russia war ukrain,-0.8555,Negatif
wrap product week ipu grate opportun address plenari mani signific meet deleg take step universalis ctbt parliamentari engag crucial ensur put end nuclear explos anyon anywher ever,0.0,Netral
resili health system vital prepar respond emerg maintain essenti health servic crisi covid latest ipu handbook parliamentarian look logist ipu,0.296,Positif
congratul ipu nurtur parliamentari diplomaci th general assembl kudo indonesia host en adam develop even dialogu parliamentarian global deg foreignaff,0.0,Netral
deputi chaperon ncop deleg th assembl ipu held march nusa dua indonesia provid highlight focus women particip peac keep effort ipu,0.34,Positif
mr floyd shivambu deleg th assembl ipu held nusa dua indonesia march provid highlight focus conflict resolut ipu,0.0258,Positif
ms fikil masiko deleg th assembl ipu held nusa dua indonesia march provid highlight focus youth particip busi parliament ipu,0.34,Positif
dr anneli lotriet deleg th assembl ipu held nusa dua indonesia march provid highlight focus access ict devis remot teach learn ipu,0.34,Positif
ms dori dlakud deleg th assembl ipu held nusa dua indonesia march provid highlight focus conflict resolut ipu,0.0258,Positif
mr cedrick frolick deleg th assembl ipu held nusa dua indonesia march provid highlight focus climat chang ipu,0.34,Positif
strengthen health secur prepared intern health regul handbook mps focus law make oversight account budget approv expenditur represent launch ipu sg,0.4939,Positif
russian mp sergei savostyanov call stop ukrain amp expand remit ru militari oper baltic countri moldova poland kazakhstan remov russia ipu,0.0258,Positif
congratul order hon nnanniki makwinja mp lentsweletau mmopan elect committe middl east question committe deal most issu middl east countri ipu cc,0.0,Netral
nusadua th ipu assembl amp relat meet ipu presid mr duart pacheco amp past ipu presid mr pier ferdinando casini ipu,0.0,Netral
ipu member pass emerg item peac resolut war ukrain respect intern law charter unit nation territori integr read press releas,-0.2023,Negatif
ipu conclud adopt nusa dua declar world mps recogn urgent need address climatecrisi declar outlin nation action parliament need take implement parisagr,0.3612,Positif
check post ipu assembl social media wall via io,0.0,Netral
check post ipu assembl social media wall via io comment,0.0,Netral
follow south african high level deleg led speaker nation assembl ms nosivew mapisa nqakula ipu,0.0,Netral
way forward ms luca said use posit convenor ipu parliament advoc establish joint committe deal multi later forum parliament particip order make sure commit ipu,0.5423,Positif
made input fact young peopl particip elector process voter also particip elect parliament legislatur municip council said ms masiko ipu,0.0,Netral
said note fact south africa constitut legisl quota young peopl therefor encourag polit parti consid young peopl start elector process ipu,0.0,Netral
forum young parliamentarian look need young peopl particip busi parliament ipu,0.0,Netral
ms fikil masiko also form part high level deleg south african parliament serv various assembl relat committe includ amongst other ipu,0.0,Netral
forum held robust discuss scourg gender base violenc particular covid pandem affect women children vulner group ipu,0.34,Positif
address issu women children vulner war conflict occur design said ms luca ipu,-0.7351,Negatif
resolut ensur parliamentarian contribut nuanc stronger involv women peac keep process also ipu,0.3818,Positif
forum adopt resolut rethink refram peac process view ensur last peac intern solidar ipu,0.1779,Positif
well impact conflict war women children vulner group ipu,-0.6249,Negatif
anoth deleg ms sylvia luca particip various assembl relat committe includ amongst other forum women parliamentarian focus need women involv peac keep effort ipu,0.0,Netral
ultim resolut adopt ipu one import condit made insert resolut say ipu will listen parti hostil said mr shivambu ipu,0.1779,Positif
said although draft committe could reach consensus number aspect still highlight role ipu conflict situat arbitr peac purpos ipu,0.128,Positif
meanwhil mr shivambu behalf africa form part committe draft emerg resolut peac resolut war ukrain respect intern law charter unit nation territori integr ipu,-0.2023,Negatif
sadc group meet attend africa group meet wherein everyon agre conflict russia ukrain must resolv peac mean posit present assembl govern council ipu,-0.3182,Negatif
said sadc counterpart agre south african parliament well govern posit peac conflict resolut dialogu mediat diplomaci ipu,-0.0516,Negatif
ms dlakud first repres deleg southern african develop communiti sadc group meet took place day prior offici open th assembl ipu,0.0,Netral
dr lotriet said one thing cannot allow children lack behind fall educ system access chang world increas depend ict educ remot learn ipu,0.0762,Positif
said south africa made valuabl contribut resolut also cover issu access especi school children access ict devic connect well non avail infrastructur data remot area ipu,0.2732,Positif
resolut role inform communic technolog ict time pandem specif focus educ ipu,0.0,Netral
anoth member deleg dr anneli lotriet said assembl stand committe sustain develop pass extrem import ipu,0.0,Netral
goal number climat chang requir lot work done govern parliament ensur necessari framework well advocaci programm place order reach object said mr frolick ipu,0.3612,Positif
around world must seiz look toward achiev sustain develop goal ipu,0.0,Netral
mr cedrick frolick part south african deleg said matter around climat chang alway remain agenda multi later forum ipu assembl issu parliament ipu,0.0258,Positif
th assembl held standard general debat item focus get zero mobilis parliament act climat chang ipu,0.0,Netral
discuss assembl includ climat chang conflict resolut access ict women empower youth particip busi parliament ipu,-0.3182,Negatif
south african parliament high level deleg th assembl inter parliamentari union ipu took place march nusa dua indonesia left renew impetus advoc parliament address pertin issu ipu,0.0,Netral
ukrainian say destroy larg warship berdyansk russia ukrain stoprussia ipu stopputin standwithukrain berdyansk,-0.6369,Negatif
choic make today reson decad come chang must made want secur earth generat come vice chair gopac hon ipu general debat read full releas eng,0.0772,Positif
gopac joint workshop explor way global parliamentari communiti keep tab intern anti corrupt commit miss see video record read releas ipu,-0.1779,Negatif
remov russia ipu,0.0,Netral
aslund remov russia ipu,0.0,Netral
russia terrorist state violat intern law state right part organis promot peac democraci sustain develop remov russia ipu,-0.6908,Negatif
